method,throws,throws_description
java.util.concurrent.ThreadLocalRandom.longs(long),IllegalArgumentException , if streamSize is less than zero
"java.util.concurrent.ThreadLocalRandom.longs(long,long,long)",IllegalArgumentException ," if streamSize is less than zero, or randomNumberOrigin is greater than or equal to randomNumberBound"
"java.util.concurrent.ThreadLocalRandom.longs(long,long)",IllegalArgumentException , if randomNumberOrigin is greater than or equal to randomNumberBound
java.util.concurrent.ThreadLocalRandom.doubles(long),IllegalArgumentException , if streamSize is less than zero
"java.util.concurrent.ThreadLocalRandom.doubles(long,double,double)",IllegalArgumentException , if streamSize is less than zero
"java.util.concurrent.ThreadLocalRandom.doubles(double,double)",IllegalArgumentException , if randomNumberOrigin is greater than or equal to randomNumberBound
java.util.concurrent.ThreadPoolExecutor.execute(Runnable),RejectedExecutionException ," at discretion of RejectedExecutionHandler, if the task cannot be accepted for execution"
java.util.concurrent.ThreadPoolExecutor.shutdown(),SecurityException ," if a security manager exists and shutting down this ExecutorService may manipulate threads that the caller is not permitted to modify because it does not hold RuntimePermission(""modifyThread""), or the security manager's checkAccess method denies access."
java.util.concurrent.ThreadPoolExecutor.shutdownNow(),SecurityException ," if a security manager exists and shutting down this ExecutorService may manipulate threads that the caller is not permitted to modify because it does not hold RuntimePermission(""modifyThread""), or the security manager's checkAccess method denies access."
"java.util.concurrent.ThreadPoolExecutor.awaitTermination(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.ThreadPoolExecutor.setThreadFactory(ThreadFactory),NullPointerException , if threadFactory is null
java.util.concurrent.ThreadPoolExecutor.setRejectedExecutionHandler(RejectedExecutionHandler),NullPointerException , if handler is null
java.util.concurrent.ThreadPoolExecutor.setCorePoolSize(int),IllegalArgumentException , if corePoolSize &lt; 0
java.util.concurrent.ThreadPoolExecutor.allowCoreThreadTimeOut(boolean),IllegalArgumentException , if value is true and the current keep-alive time is not greater than zero
java.util.concurrent.ThreadPoolExecutor.setMaximumPoolSize(int),IllegalArgumentException ," if the new maximum is less than or equal to zero, or less than the core pool size"
"java.util.concurrent.ThreadPoolExecutor.setKeepAliveTime(long,TimeUnit)",IllegalArgumentException , if time less than zero or if time is zero and allowsCoreThreadTimeOut
"java.util.concurrent.ThreadPoolExecutor.AbortPolicy.rejectedExecution(Runnable,ThreadPoolExecutor)",RejectedExecutionException , always
"java.util.concurrent.atomic.AtomicIntegerFieldUpdater.newUpdater(Class&lt;U&gt;,String)",IllegalArgumentException , if the field is not a volatile integer type
"java.util.concurrent.atomic.AtomicIntegerFieldUpdater.compareAndSet(T,int,int)",ClassCastException , if obj is not an instance of the class possessing the field established in the constructor
"java.util.concurrent.atomic.AtomicIntegerFieldUpdater.weakCompareAndSet(T,int,int)",ClassCastException , if obj is not an instance of the class possessing the field established in the constructor
"java.util.concurrent.atomic.AtomicLongFieldUpdater.newUpdater(Class&lt;U&gt;,String)",IllegalArgumentException , if the field is not a volatile long type
"java.util.concurrent.atomic.AtomicLongFieldUpdater.compareAndSet(T,long,long)",ClassCastException , if obj is not an instance of the class possessing the field established in the constructor
"java.util.concurrent.atomic.AtomicLongFieldUpdater.weakCompareAndSet(T,long,long)",ClassCastException , if obj is not an instance of the class possessing the field established in the constructor
"java.util.concurrent.atomic.AtomicReferenceFieldUpdater.newUpdater(Class&lt;U&gt;,Class&lt;W&gt;,String)",ClassCastException , if the field is of the wrong type
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.tryAcquire(long),IllegalMonitorStateException , if acquiring would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.tryRelease(long),IllegalMonitorStateException , if releasing would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.tryAcquireShared(long),IllegalMonitorStateException , if acquiring would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.tryReleaseShared(long),IllegalMonitorStateException , if releasing would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.isHeldExclusively(),UnsupportedOperationException , if conditions are not supported
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.acquireInterruptibly(long),InterruptedException , if the current thread is interrupted
"java.util.concurrent.locks.AbstractQueuedLongSynchronizer.tryAcquireNanos(long,long)",InterruptedException , if the current thread is interrupted
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.acquireSharedInterruptibly(long),InterruptedException , if the current thread is interrupted
"java.util.concurrent.locks.AbstractQueuedLongSynchronizer.tryAcquireSharedNanos(long,long)",InterruptedException , if the current thread is interrupted
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.isQueued(Thread),NullPointerException , if the thread is null
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.owns(AbstractQueuedLongSynchronizer.ConditionObject),NullPointerException , if the condition is null
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.hasWaiters(AbstractQueuedLongSynchronizer.ConditionObject),IllegalMonitorStateException , if exclusive synchronization is not held
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.getWaitQueueLength(AbstractQueuedLongSynchronizer.ConditionObject),IllegalMonitorStateException , if exclusive synchronization is not held
java.util.concurrent.locks.AbstractQueuedLongSynchronizer.getWaitingThreads(AbstractQueuedLongSynchronizer.ConditionObject),IllegalMonitorStateException , if exclusive synchronization is not held
java.util.concurrent.locks.AbstractQueuedSynchronizer.tryAcquire(int),IllegalMonitorStateException , if acquiring would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedSynchronizer.tryRelease(int),IllegalMonitorStateException , if releasing would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedSynchronizer.tryAcquireShared(int),IllegalMonitorStateException , if acquiring would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedSynchronizer.tryReleaseShared(int),IllegalMonitorStateException , if releasing would place this synchronizer in an illegal state. This exception must be thrown in a consistent fashion for synchronization to work correctly.
java.util.concurrent.locks.AbstractQueuedSynchronizer.isHeldExclusively(),UnsupportedOperationException , if conditions are not supported
java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireInterruptibly(int),InterruptedException , if the current thread is interrupted
"java.util.concurrent.locks.AbstractQueuedSynchronizer.tryAcquireNanos(int,long)",InterruptedException , if the current thread is interrupted
java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly(int),InterruptedException , if the current thread is interrupted
"java.util.concurrent.locks.AbstractQueuedSynchronizer.tryAcquireSharedNanos(int,long)",InterruptedException , if the current thread is interrupted
java.util.concurrent.locks.AbstractQueuedSynchronizer.isQueued(Thread),NullPointerException , if the thread is null
java.util.concurrent.locks.AbstractQueuedSynchronizer.owns(AbstractQueuedSynchronizer.ConditionObject),NullPointerException , if the condition is null
java.util.concurrent.locks.AbstractQueuedSynchronizer.hasWaiters(AbstractQueuedSynchronizer.ConditionObject),IllegalMonitorStateException , if exclusive synchronization is not held
java.util.concurrent.locks.AbstractQueuedSynchronizer.getWaitQueueLength(AbstractQueuedSynchronizer.ConditionObject),IllegalMonitorStateException , if exclusive synchronization is not held
java.util.concurrent.locks.AbstractQueuedSynchronizer.getWaitingThreads(AbstractQueuedSynchronizer.ConditionObject),IllegalMonitorStateException , if exclusive synchronization is not held
java.util.concurrent.locks.LockSupport.getBlocker(Thread),NullPointerException , if argument is null
