method,type,parameter,parameter_description
"javax.imageio.stream.FileCacheImageInputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileCacheImageInputStream.read(byte[],int,int).off ", the starting position within b to write to.
"javax.imageio.stream.FileCacheImageInputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileCacheImageInputStream.read(byte[],int,int).len ", the maximum number of bytes to read.
"javax.imageio.stream.FileCacheImageOutputStream.read(byte[],int,int)",byte[],"javax.imageio.stream.FileCacheImageOutputStream.read(byte[],int,int).b ", an array of bytes to be written to.
"javax.imageio.stream.FileCacheImageOutputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileCacheImageOutputStream.read(byte[],int,int).off ", the starting position within b to write to.
"javax.imageio.stream.FileCacheImageOutputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileCacheImageOutputStream.read(byte[],int,int).len ", the maximum number of bytes to read.
javax.imageio.stream.FileCacheImageOutputStream.write(int),int,javax.imageio.stream.FileCacheImageOutputStream.write(int).b , an int whose lower 8 bits are to be written.
"javax.imageio.stream.FileCacheImageOutputStream.write(byte[],int,int)",byte[],"javax.imageio.stream.FileCacheImageOutputStream.write(byte[],int,int).b ", an array of bytes to be written.
"javax.imageio.stream.FileCacheImageOutputStream.write(byte[],int,int)",int,"javax.imageio.stream.FileCacheImageOutputStream.write(byte[],int,int).off ", the start offset in the data.
"javax.imageio.stream.FileCacheImageOutputStream.write(byte[],int,int)",int,"javax.imageio.stream.FileCacheImageOutputStream.write(byte[],int,int).len ", the number of bytes to write.
javax.imageio.stream.FileCacheImageOutputStream.seek(long),long,javax.imageio.stream.FileCacheImageOutputStream.seek(long).pos , a long containing the desired file pointer position.
javax.imageio.stream.FileCacheImageOutputStream.flushBefore(long),long,javax.imageio.stream.FileCacheImageOutputStream.flushBefore(long).pos , a long containing the length of the stream prefix that may be flushed.
"javax.imageio.stream.FileImageInputStream.read(byte[],int,int)",byte[],"javax.imageio.stream.FileImageInputStream.read(byte[],int,int).b ", an array of bytes to be written to.
"javax.imageio.stream.FileImageInputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileImageInputStream.read(byte[],int,int).off ", the starting position within b to write to.
"javax.imageio.stream.FileImageInputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileImageInputStream.read(byte[],int,int).len ", the maximum number of bytes to read.
javax.imageio.stream.FileImageInputStream.seek(long),long,javax.imageio.stream.FileImageInputStream.seek(long).pos , a long containing the desired file pointer position.
"javax.imageio.stream.FileImageOutputStream.read(byte[],int,int)",byte[],"javax.imageio.stream.FileImageOutputStream.read(byte[],int,int).b ", an array of bytes to be written to.
"javax.imageio.stream.FileImageOutputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileImageOutputStream.read(byte[],int,int).off ", the starting position within b to write to.
"javax.imageio.stream.FileImageOutputStream.read(byte[],int,int)",int,"javax.imageio.stream.FileImageOutputStream.read(byte[],int,int).len ", the maximum number of bytes to read.
javax.imageio.stream.FileImageOutputStream.write(int),int,javax.imageio.stream.FileImageOutputStream.write(int).b , an int whose lower 8 bits are to be written.
"javax.imageio.stream.FileImageOutputStream.write(byte[],int,int)",byte[],"javax.imageio.stream.FileImageOutputStream.write(byte[],int,int).b ", an array of bytes to be written.
"javax.imageio.stream.FileImageOutputStream.write(byte[],int,int)",int,"javax.imageio.stream.FileImageOutputStream.write(byte[],int,int).off ", the start offset in the data.
"javax.imageio.stream.FileImageOutputStream.write(byte[],int,int)",int,"javax.imageio.stream.FileImageOutputStream.write(byte[],int,int).len ", the number of bytes to write.
javax.imageio.stream.FileImageOutputStream.seek(long),long,javax.imageio.stream.FileImageOutputStream.seek(long).pos , a long containing the desired file pointer position.
javax.imageio.stream.IIOByteBuffer.setData(byte[]),byte[],javax.imageio.stream.IIOByteBuffer.setData(byte[]).data , a byte array reference containing the new data value.
javax.imageio.stream.IIOByteBuffer.setOffset(int),int,javax.imageio.stream.IIOByteBuffer.setOffset(int).offset , an int containing the new offset value.
javax.imageio.stream.IIOByteBuffer.setLength(int),int,javax.imageio.stream.IIOByteBuffer.setLength(int).length , an int containing the new length value.
javax.imageio.stream.ImageInputStreamImpl.setByteOrder(ByteOrder),ByteOrder,javax.imageio.stream.ImageInputStreamImpl.setByteOrder(ByteOrder).byteOrder ," one of ByteOrder.BIG_ENDIAN or java.nio.ByteOrder.LITTLE_ENDIAN, indicating whether network byte order or its reverse will be used for future reads."
javax.imageio.stream.ImageInputStreamImpl.read(byte[]),byte[],javax.imageio.stream.ImageInputStreamImpl.read(byte[]).b , an array of bytes to be written to.
"javax.imageio.stream.ImageInputStreamImpl.read(byte[],int,int)",byte[],"javax.imageio.stream.ImageInputStreamImpl.read(byte[],int,int).b ", an array of bytes to be written to.
"javax.imageio.stream.ImageInputStreamImpl.read(byte[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.read(byte[],int,int).off ", the starting position within b to write to.
"javax.imageio.stream.ImageInputStreamImpl.read(byte[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.read(byte[],int,int).len ", the maximum number of bytes to read.
"javax.imageio.stream.ImageInputStreamImpl.readBytes(IIOByteBuffer,int)",IIOByteBuffer,"javax.imageio.stream.ImageInputStreamImpl.readBytes(IIOByteBuffer,int).buf ", an IIOByteBuffer object to be modified.
"javax.imageio.stream.ImageInputStreamImpl.readBytes(IIOByteBuffer,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readBytes(IIOByteBuffer,int).len ", the maximum number of bytes to read.
"javax.imageio.stream.ImageInputStreamImpl.readFully(byte[],int,int)",byte[],"javax.imageio.stream.ImageInputStreamImpl.readFully(byte[],int,int).b ", an array of bytes to be written to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(byte[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(byte[],int,int).off ", the starting position within b to write to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(byte[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(byte[],int,int).len ", the maximum number of bytes to read.
javax.imageio.stream.ImageInputStreamImpl.readFully(byte[]),byte[],javax.imageio.stream.ImageInputStreamImpl.readFully(byte[]).b , an array of bytes.
"javax.imageio.stream.ImageInputStreamImpl.readFully(short[],int,int)",short[],"javax.imageio.stream.ImageInputStreamImpl.readFully(short[],int,int).s ", an array of shorts to be written to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(short[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(short[],int,int).off ", the starting position within s to write to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(short[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(short[],int,int).len ", the maximum number of shorts to read.
"javax.imageio.stream.ImageInputStreamImpl.readFully(char[],int,int)",char[],"javax.imageio.stream.ImageInputStreamImpl.readFully(char[],int,int).c ", an array of chars to be written to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(char[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(char[],int,int).off ", the starting position within c to write to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(char[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(char[],int,int).len ", the maximum number of chars to read.
"javax.imageio.stream.ImageInputStreamImpl.readFully(int[],int,int)",int[],"javax.imageio.stream.ImageInputStreamImpl.readFully(int[],int,int).i ", an array of ints to be written to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(int[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(int[],int,int).off ", the starting position within i to write to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(int[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(int[],int,int).len ", the maximum number of ints to read.
"javax.imageio.stream.ImageInputStreamImpl.readFully(long[],int,int)",long[],"javax.imageio.stream.ImageInputStreamImpl.readFully(long[],int,int).l ", an array of longs to be written to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(long[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(long[],int,int).off ", the starting position within l to write to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(long[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(long[],int,int).len ", the maximum number of longs to read.
"javax.imageio.stream.ImageInputStreamImpl.readFully(float[],int,int)",float[],"javax.imageio.stream.ImageInputStreamImpl.readFully(float[],int,int).f ", an array of floats to be written to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(float[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(float[],int,int).off ", the starting position within f to write to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(float[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(float[],int,int).len ", the maximum number of floats to read.
"javax.imageio.stream.ImageInputStreamImpl.readFully(double[],int,int)",double[],"javax.imageio.stream.ImageInputStreamImpl.readFully(double[],int,int).d ", an array of doubles to be written to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(double[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(double[],int,int).off ", the starting position within d to write to.
"javax.imageio.stream.ImageInputStreamImpl.readFully(double[],int,int)",int,"javax.imageio.stream.ImageInputStreamImpl.readFully(double[],int,int).len ", the maximum number of doubles to read.
javax.imageio.stream.ImageInputStreamImpl.setBitOffset(int),int,javax.imageio.stream.ImageInputStreamImpl.setBitOffset(int).bitOffset ," the desired offset, as an int between 0 and 7, inclusive."
javax.imageio.stream.ImageInputStreamImpl.readBits(int),int,javax.imageio.stream.ImageInputStreamImpl.readBits(int).numBits ," the number of bits to read, as an int between 0 and 64, inclusive."
javax.imageio.stream.ImageInputStreamImpl.skipBytes(int),int,javax.imageio.stream.ImageInputStreamImpl.skipBytes(int).n , the number of bytes to seek forward.
javax.imageio.stream.ImageInputStreamImpl.skipBytes(long),long,javax.imageio.stream.ImageInputStreamImpl.skipBytes(long).n , the number of bytes to seek forward.
javax.imageio.stream.ImageInputStreamImpl.seek(long),long,javax.imageio.stream.ImageInputStreamImpl.seek(long).pos , a long containing the desired file pointer position.
javax.imageio.stream.ImageInputStreamImpl.flushBefore(long),long,javax.imageio.stream.ImageInputStreamImpl.flushBefore(long).pos , a long containing the length of the stream prefix that may be flushed.
javax.imageio.stream.ImageOutputStreamImpl.write(int),int,javax.imageio.stream.ImageOutputStreamImpl.write(int).b , an int whose lower 8 bits are to be written.
javax.imageio.stream.ImageOutputStreamImpl.write(byte[]),byte[],javax.imageio.stream.ImageOutputStreamImpl.write(byte[]).b , an array of bytes to be written.
"javax.imageio.stream.ImageOutputStreamImpl.write(byte[],int,int)",byte[],"javax.imageio.stream.ImageOutputStreamImpl.write(byte[],int,int).b ", an array of bytes to be written.
"javax.imageio.stream.ImageOutputStreamImpl.write(byte[],int,int)",int,"javax.imageio.stream.ImageOutputStreamImpl.write(byte[],int,int).off ", the start offset in the data.
"javax.imageio.stream.ImageOutputStreamImpl.write(byte[],int,int)",int,"javax.imageio.stream.ImageOutputStreamImpl.write(byte[],int,int).len ", the number of bytes to write.
javax.imageio.stream.ImageOutputStreamImpl.writeBoolean(boolean),boolean,javax.imageio.stream.ImageOutputStreamImpl.writeBoolean(boolean).v , the boolean to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeByte(int),int,javax.imageio.stream.ImageOutputStreamImpl.writeByte(int).v , an int containing the byte value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeShort(int),int,javax.imageio.stream.ImageOutputStreamImpl.writeShort(int).v , an int containing the short value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeChar(int),int,javax.imageio.stream.ImageOutputStreamImpl.writeChar(int).v , an int containing the char (unsigned short) value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeInt(int),int,javax.imageio.stream.ImageOutputStreamImpl.writeInt(int).v , an int containing the value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeLong(long),long,javax.imageio.stream.ImageOutputStreamImpl.writeLong(long).v , a long containing the value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeFloat(float),float,javax.imageio.stream.ImageOutputStreamImpl.writeFloat(float).v , a float containing the value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeDouble(double),double,javax.imageio.stream.ImageOutputStreamImpl.writeDouble(double).v , a double containing the value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeBytes(String),String,javax.imageio.stream.ImageOutputStreamImpl.writeBytes(String).s , a String containing the value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeChars(String),String,javax.imageio.stream.ImageOutputStreamImpl.writeChars(String).s , a String containing the value to be written.
javax.imageio.stream.ImageOutputStreamImpl.writeUTF(String),String,javax.imageio.stream.ImageOutputStreamImpl.writeUTF(String).s , a String containing the value to be written.
"javax.imageio.stream.ImageOutputStreamImpl.writeShorts(short[],int,int)",short[],"javax.imageio.stream.ImageOutputStreamImpl.writeShorts(short[],int,int).s ", an array of shorts to be written.
"javax.imageio.stream.ImageOutputStreamImpl.writeShorts(short[],int,int)",int,"javax.imageio.stream.ImageOutputStreamImpl.writeShorts(short[],int,int).off ", the start offset in the data.
"javax.imageio.stream.ImageOutputStreamImpl.writeShorts(short[],int,int)",int,"javax.imageio.stream.ImageOutputStreamImpl.writeShorts(short[],int,int).len ", the number of shorts to write.
"javax.imageio.stream.ImageOutputStreamImpl.writeChars(char[],int,int)",char[],"javax.imageio.stream.ImageOutputStreamImpl.writeChars(char[],int,int).c ", an array of chars to be written.
"javax.imageio.stream.ImageOutputStreamImpl.writeChars(char[],int,int)",int,"javax.imageio.stream.ImageOutputStreamImpl.writeChars(char[],int,int).off ", the start offset in the data.
